C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2018-05-26T00:00:00.000Z,-0.6653845906257629,1,0.35470021255645723,0.22050276573512193,1558,476,0.39256197214126587,0.05583342909812927,0.5960993766784668,81.33086876155271
2018-05-31T00:00:00.000Z,-0.9235836863517761,1,0.3700447256450292,0.3031463582085043,1558,476,0.4370879828929901,-0.05724986642599106,0.6890724897384644,25.231053604436237
2018-06-05T00:00:00.000Z,-0.8714842796325684,1,0.35441944654487606,0.31697626396795753,1558,476,0.42824795842170715,-0.0867864266037941,0.7043805718421936,49.07578558225511
2018-06-10T00:00:00.000Z,-0.5281189680099487,0.6678252220153809,0.38907551580425465,0.1442324015871868,1558,476,0.4069415330886841,0.24321633577346802,0.5360551476478577,100
2018-06-15T00:00:00.000Z,-0.9452679753303528,0.8292964100837708,0.4738850410444087,0.19866912863917827,1558,476,0.5084325671195984,0.3096539080142975,0.6433120965957642,0
2018-06-20T00:00:00.000Z,-0.9162609577178955,0.8711283206939697,0.36769230532082897,0.22331156436552754,1558,476,0.42057082056999207,0.07165109366178513,0.5816357731819153,56.19223659889091
2018-06-25T00:00:00.000Z,-0.8388059735298157,0.7951595783233643,0.46027615780378534,0.1916671383666579,1558,476,0.4948051869869232,0.2876780927181244,0.6318795680999756,16.6358595194085
2018-06-30T00:00:00.000Z,-0.6952081918716431,1,0.4422725605482624,0.19971251634995604,1558,476,0.480701744556427,0.24662372469902039,0.6196777820587158,9.057301293900196
2018-07-05T00:00:00.000Z,-0.8421052694320679,0.9151369333267212,0.45934662750340943,0.1966026202884828,1558,476,0.4937397837638855,0.2776181697845459,0.6342015862464905,2.495378927911277
2018-07-10T00:00:00.000Z,-0.7090069055557251,1,0.41109501869086756,0.22473453303451787,1558,476,0.46202531456947327,0.11527333408594131,0.613990306854248,30.499075785582225
2018-07-15T00:00:00.000Z,-0.6871035695075989,1,0.3812216757547089,0.23103837751523704,1558,476,0.4301075339317322,0.06588693708181381,0.6159999966621399,12.476894639556392
